timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747819609256,968,Login,200,OK,Group 1 1-11,text,true,,1470,518,100,100,http://52.159.140.65:8065/api/v4/users/login,968,0,2
1747819609189,1181,Login,200,OK,Group 1 1-1,text,true,,1469,519,100,100,http://52.159.140.65:8065/api/v4/users/login,1181,0,50
1747819609286,1480,Login,200,OK,Group 1 1-12,text,true,,1467,517,100,100,http://52.159.140.65:8065/api/v4/users/login,1480,0,4
1747819609190,916,Login,200,OK,Group 1 1-3,text,true,,1470,518,100,100,http://52.159.140.65:8065/api/v4/users/login,916,0,49
1747819609235,468,Login,200,OK,Group 1 1-10,text,true,,1469,519,100,100,http://52.159.140.65:8065/api/v4/users/login,468,0,5
1747819609189,793,Login,200,OK,Group 1 1-7,text,true,,1471,519,100,100,http://52.159.140.65:8065/api/v4/users/login,793,0,50
1747819609191,1322,Login,200,OK,Group 1 1-6,text,true,,1473,521,100,100,http://52.159.140.65:8065/api/v4/users/login,1322,0,48
1747819609309,1742,Login,200,OK,Group 1 1-13,text,true,,1469,514,100,100,http://52.159.140.65:8065/api/v4/users/login,1742,0,5
1747819609189,267,Login,200,OK,Group 1 1-2,text,true,,1471,520,100,100,http://52.159.140.65:8065/api/v4/users/login,267,0,51
1747819609361,1907,Login,200,OK,Group 1 1-15,text,true,,1469,519,100,100,http://52.159.140.65:8065/api/v4/users/login,1907,0,2
1747819609189,1743,Login,200,OK,Group 1 1-4,text,true,,1470,519,100,100,http://52.159.140.65:8065/api/v4/users/login,1743,0,50
1747819609189,1453,Login,200,OK,Group 1 1-8,text,true,,1468,518,100,100,http://52.159.140.65:8065/api/v4/users/login,1453,0,50
1747819609331,1831,Login,200,OK,Group 1 1-14,text,true,,1470,520,100,100,http://52.159.140.65:8065/api/v4/users/login,1831,0,2
1747819609209,365,Login,200,OK,Group 1 1-9,text,true,,1471,519,100,100,http://52.159.140.65:8065/api/v4/users/login,365,0,30
1747819609190,648,Login,200,OK,Group 1 1-5,text,true,,1472,521,100,100,http://52.159.140.65:8065/api/v4/users/login,648,0,49
1747819609382,1987,Login,200,OK,Group 1 1-16,text,true,,1466,516,100,100,http://52.159.140.65:8065/api/v4/users/login,1987,0,2
1747819609409,2074,Login,200,OK,Group 1 1-17,text,true,,1467,518,100,100,http://52.159.140.65:8065/api/v4/users/login,2074,0,3
1747819609436,2153,Login,200,OK,Group 1 1-18,text,true,,1466,517,100,100,http://52.159.140.65:8065/api/v4/users/login,2153,0,2
1747819609460,2231,Login,200,OK,Group 1 1-19,text,true,,1465,515,100,100,http://52.159.140.65:8065/api/v4/users/login,2231,0,3
1747819609484,2313,Login,200,OK,Group 1 1-20,text,true,,1476,521,100,100,http://52.159.140.65:8065/api/v4/users/login,2313,0,4
1747819609506,2389,Login,200,OK,Group 1 1-21,text,true,,1470,521,100,100,http://52.159.140.65:8065/api/v4/users/login,2389,0,3
1747819609526,2483,Login,200,OK,Group 1 1-22,text,true,,1471,519,100,100,http://52.159.140.65:8065/api/v4/users/login,2483,0,4
1747819609547,2567,Login,200,OK,Group 1 1-23,text,true,,1470,521,100,100,http://52.159.140.65:8065/api/v4/users/login,2567,0,4
1747819609570,2659,Login,200,OK,Group 1 1-24,text,true,,1473,518,100,100,http://52.159.140.65:8065/api/v4/users/login,2659,0,6
1747819609593,2805,Login,200,OK,Group 1 1-25,text,true,,1471,516,100,100,http://52.159.140.65:8065/api/v4/users/login,2805,0,3
1747819609618,2926,Login,200,OK,Group 1 1-26,text,true,,1468,519,100,100,http://52.159.140.65:8065/api/v4/users/login,2926,0,4
1747819609643,3009,Login,200,OK,Group 1 1-27,text,true,,1468,519,100,100,http://52.159.140.65:8065/api/v4/users/login,3009,0,5
1747819609665,3089,Login,200,OK,Group 1 1-28,text,true,,1467,517,100,100,http://52.159.140.65:8065/api/v4/users/login,3089,0,4
1747819609686,3176,Login,200,OK,Group 1 1-29,text,true,,1469,517,100,100,http://52.159.140.65:8065/api/v4/users/login,3176,0,9
1747819609705,3273,Login,200,OK,Group 1 1-30,text,true,,1474,519,100,100,http://52.159.140.65:8065/api/v4/users/login,3273,0,10
1747819609731,3360,Login,200,OK,Group 1 1-31,text,true,,1471,520,100,100,http://52.159.140.65:8065/api/v4/users/login,3360,0,5
1747819609752,3444,Login,200,OK,Group 1 1-32,text,true,,1467,516,100,100,http://52.159.140.65:8065/api/v4/users/login,3444,0,8
1747819609777,3525,Login,200,OK,Group 1 1-33,text,true,,1467,518,100,100,http://52.159.140.65:8065/api/v4/users/login,3525,0,4
1747819609803,3612,Login,200,OK,Group 1 1-34,text,true,,1470,519,100,100,http://52.159.140.65:8065/api/v4/users/login,3612,0,4
1747819609826,3690,Login,200,OK,Group 1 1-35,text,true,,1469,520,100,100,http://52.159.140.65:8065/api/v4/users/login,3690,0,4
1747819609851,3778,Login,200,OK,Group 1 1-36,text,true,,1472,521,100,100,http://52.159.140.65:8065/api/v4/users/login,3778,0,4
1747819609868,3860,Login,200,OK,Group 1 1-37,text,true,,1468,518,100,100,http://52.159.140.65:8065/api/v4/users/login,3860,0,5
1747819609890,3940,Login,200,OK,Group 1 1-38,text,true,,1466,517,100,100,http://52.159.140.65:8065/api/v4/users/login,3940,0,7
1747819609910,4028,Login,200,OK,Group 1 1-39,text,true,,1467,518,100,100,http://52.159.140.65:8065/api/v4/users/login,4028,0,10
1747819609930,4126,Login,200,OK,Group 1 1-40,text,true,,1469,518,100,100,http://52.159.140.65:8065/api/v4/users/login,4126,0,4
1747819609951,4202,Login,200,OK,Group 1 1-41,text,true,,1468,518,100,100,http://52.159.140.65:8065/api/v4/users/login,4202,0,7
1747819609973,4290,Login,200,OK,Group 1 1-42,text,true,,1469,520,100,100,http://52.159.140.65:8065/api/v4/users/login,4290,0,7
1747819614324,33,Get User Data,200,OK,Group 1 1-11,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,31,0,0
1747819614316,43,Get User Data,200,OK,Group 1 1-2,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,43,0,0
1747819614317,46,Get User Data,200,OK,Group 1 1-7,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,46,0,0
1747819614318,46,Get User Data,200,OK,Group 1 1-12,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,46,0,0
1747819614318,47,Get User Data,200,OK,Group 1 1-10,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,47,0,0
1747819614321,48,Get User Data,200,OK,Group 1 1-9,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,48,0,0
1747819614321,56,Get User Data,200,OK,Group 1 1-14,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,55,0,0
1747819614322,57,Get User Data,200,OK,Group 1 1-5,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,57,0,0
1747819614319,61,Get User Data,200,OK,Group 1 1-4,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,61,0,0
1747819614320,61,Get User Data,200,OK,Group 1 1-3,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,61,0,0
1747819614320,62,Get User Data,200,OK,Group 1 1-13,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,62,0,0
1747819614319,66,Get User Data,200,OK,Group 1 1-6,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,66,0,0
1747819614319,70,Get User Data,200,OK,Group 1 1-15,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,70,0,0
1747819614321,69,Get User Data,200,OK,Group 1 1-1,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,69,0,0
1747819614320,71,Get User Data,200,OK,Group 1 1-8,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,71,0,0
1747819614383,10,Get User Data,200,OK,Group 1 1-16,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,10,0,0
1747819609997,4438,Login,200,OK,Group 1 1-43,text,true,,1474,519,100,100,http://52.159.140.65:8065/api/v4/users/login,4438,0,4
1747819614486,13,Get User Data,200,OK,Group 1 1-17,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,12,0,0
1747819610016,4523,Login,200,OK,Group 1 1-44,text,true,,1474,519,100,100,http://52.159.140.65:8065/api/v4/users/login,4523,0,7
1747819614592,14,Get User Data,200,OK,Group 1 1-18,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,14,0,0
1747819610036,4601,Login,200,OK,Group 1 1-45,text,true,,1476,521,100,100,http://52.159.140.65:8065/api/v4/users/login,4601,0,4
1747819614695,13,Get User Data,200,OK,Group 1 1-19,text,true,,3737,513,100,100,http://52.159.140.65:8065/api/v4/users,13,0,0
1747819610057,4694,Login,200,OK,Group 1 1-46,text,true,,1469,518,100,100,http://52.159.140.65:8065/api/v4/users/login,4694,0,6
1747819614801,12,Get User Data,200,OK,Group 1 1-20,text,true,,3736,513,100,100,http://52.159.140.65:8065/api/v4/users,12,0,0
1747819610079,4783,Login,200,OK,Group 1 1-47,text,true,,1469,517,100,100,http://52.159.140.65:8065/api/v4/users/login,4783,0,4
1747819614899,17,Get User Data,200,OK,Group 1 1-21,text,true,,3736,513,100,100,http://52.159.140.65:8065/api/v4/users,17,0,0
1747819615012,23,Get User Data,200,OK,Group 1 1-22,text,true,,3736,513,100,100,http://52.159.140.65:8065/api/v4/users,23,0,0
1747819610102,4994,Login,200,OK,Group 1 1-48,text,true,,1474,523,100,100,http://52.159.140.65:8065/api/v4/users/login,4994,0,3
1747819615116,16,Get User Data,200,OK,Group 1 1-23,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,15,0,0
1747819610123,5048,Login,200,OK,Group 1 1-49,text,true,,1473,518,100,100,http://52.159.140.65:8065/api/v4/users/login,5048,0,3
1747819615232,15,Get User Data,200,OK,Group 1 1-24,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,15,0,0
1747819610142,5146,Login,200,OK,Group 1 1-50,text,true,,1471,516,100,100,http://52.159.140.65:8065/api/v4/users/login,5146,0,6
1747819610162,5228,Login,200,OK,Group 1 1-51,text,true,,1473,518,100,100,http://52.159.140.65:8065/api/v4/users/login,5228,0,7
1747819615401,20,Get User Data,200,OK,Group 1 1-25,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,20,0,0
1747819610186,5336,Login,200,OK,Group 1 1-52,text,true,,1475,520,100,100,http://52.159.140.65:8065/api/v4/users/login,5336,0,4
1747819615547,12,Get User Data,200,OK,Group 1 1-26,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,12,0,0
1747819610201,5447,Login,200,OK,Group 1 1-53,text,true,,1466,517,100,100,http://52.159.140.65:8065/api/v4/users/login,5447,0,5
1747819615659,15,Get User Data,200,OK,Group 1 1-27,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,15,0,0
1747819615757,30,Get User Data,200,OK,Group 1 1-28,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,30,0,0
1747819610219,5570,Login,200,OK,Group 1 1-54,text,true,,1477,522,100,100,http://52.159.140.65:8065/api/v4/users/login,5570,0,4
1747819615865,17,Get User Data,200,OK,Group 1 1-29,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,16,0,0
1747819610237,5701,Login,200,OK,Group 1 1-55,text,true,,1473,522,100,100,http://52.159.140.65:8065/api/v4/users/login,5701,0,5
1747819615981,13,Get User Data,200,OK,Group 1 1-30,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,13,0,0
1747819610256,5832,Login,200,OK,Group 1 1-56,text,true,,1476,521,100,100,http://52.159.140.65:8065/api/v4/users/login,5831,0,5
1747819616094,14,Get User Data,200,OK,Group 1 1-31,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,13,0,0
1747819616200,12,Get User Data,200,OK,Group 1 1-32,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,12,0,0
1747819610276,5995,Login,200,OK,Group 1 1-57,text,true,,1467,515,100,100,http://52.159.140.65:8065/api/v4/users/login,5995,0,4
1747819616305,12,Get User Data,200,OK,Group 1 1-33,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,11,0,0
1747819610320,6085,Login,200,OK,Group 1 1-59,text,true,,1467,518,100,100,http://52.159.140.65:8065/api/v4/users/login,6085,0,5
1747819616418,17,Get User Data,200,OK,Group 1 1-34,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,17,0,0
1747819616520,31,Get User Data,200,OK,Group 1 1-35,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,31,0,0
1747819610319,6253,Login,200,OK,Group 1 1-58,text,true,,1470,520,100,100,http://52.159.140.65:8065/api/v4/users/login,6253,0,6
1747819616632,25,Get User Data,200,OK,Group 1 1-36,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,25,0,0
1747819610334,6329,Login,200,OK,Group 1 1-60,text,true,,1472,521,100,100,http://52.159.140.65:8065/api/v4/users/login,6329,0,4
1747819616732,17,Get User Data,200,OK,Group 1 1-37,text,true,,3734,513,100,100,http://52.159.140.65:8065/api/v4/users,17,0,0
1747819610354,6413,Login,200,OK,Group 1 1-61,text,true,,1468,518,100,100,http://52.159.140.65:8065/api/v4/users/login,6413,0,4
1747819616833,18,Get User Data,200,OK,Group 1 1-38,text,true,,3732,513,100,100,http://52.159.140.65:8065/api/v4/users,18,0,0
1747819610372,6518,Login,200,OK,Group 1 1-62,text,true,,1471,519,100,100,http://52.159.140.65:8065/api/v4/users/login,6518,0,4
1747819616941,14,Get User Data,200,OK,Group 1 1-39,text,true,,3732,513,100,100,http://52.159.140.65:8065/api/v4/users,14,0,0
1747819610389,6605,Login,200,OK,Group 1 1-63,text,true,,1474,519,100,100,http://52.159.140.65:8065/api/v4/users/login,6605,0,6
1747819617061,13,Get User Data,200,OK,Group 1 1-40,text,true,,3732,513,100,100,http://52.159.140.65:8065/api/v4/users,13,0,0
1747819610407,6701,Login,200,OK,Group 1 1-64,text,true,,1467,518,100,100,http://52.159.140.65:8065/api/v4/users/login,6701,0,10
1747819617157,16,Get User Data,200,OK,Group 1 1-41,text,true,,3732,513,100,100,http://52.159.140.65:8065/api/v4/users,15,0,0
1747819610427,6793,Login,200,OK,Group 1 1-65,text,true,,1471,519,100,100,http://52.159.140.65:8065/api/v4/users/login,6793,0,6
1747819617267,16,Get User Data,200,OK,Group 1 1-42,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,16,0,0
1747819610443,6902,Login,200,OK,Group 1 1-66,text,true,,1472,517,100,100,http://52.159.140.65:8065/api/v4/users/login,6902,0,6
1747819617360,42,Get Channels,200,OK,Group 1 1-11,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,42,0,0
1747819617364,54,Get Channels,200,OK,Group 1 1-7,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,54,0,0
1747819617365,63,Get Channels,200,OK,Group 1 1-12,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,63,0,0
1747819617386,43,Get Channels,200,OK,Group 1 1-6,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,43,0,0
1747819617370,60,Get Channels,200,OK,Group 1 1-9,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,60,0,0
1747819617382,52,Get Channels,200,OK,Group 1 1-3,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,52,0,0
1747819617366,69,Get Channels,200,OK,Group 1 1-10,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,69,0,0
1747819617394,47,Get Channels,200,OK,Group 1 1-16,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,46,0,0
1747819617360,81,Get Channels,200,OK,Group 1 1-2,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,81,0,0
1747819617392,54,Get Channels,200,OK,Group 1 1-8,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,54,0,0
1747819617381,66,Get Channels,200,OK,Group 1 1-4,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,66,0,0
1747819617378,69,Get Channels,200,OK,Group 1 1-14,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,69,0,0
1747819617383,65,Get Channels,200,OK,Group 1 1-13,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,65,0,0
1747819617390,61,Get Channels,200,OK,Group 1 1-15,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,61,0,0
1747819617438,19,Get User Data,200,OK,Group 1 1-43,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,19,0,0
1747819617380,79,Get Channels,200,OK,Group 1 1-5,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,79,0,0
1747819617391,68,Get Channels,200,OK,Group 1 1-1,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,68,0,0
1747819617500,7,Get Channels,200,OK,Group 1 1-17,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,7,0,0
1747819610461,7051,Login,200,OK,Group 1 1-67,text,true,,1468,517,100,100,http://52.159.140.65:8065/api/v4/users/login,7051,0,5
1747819617542,17,Get User Data,200,OK,Group 1 1-44,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,16,0,0
1747819617607,13,Get Channels,200,OK,Group 1 1-18,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,13,0,0
1747819610475,7190,Login,200,OK,Group 1 1-68,text,true,,1471,520,100,100,http://52.159.140.65:8065/api/v4/users/login,7190,0,5
1747819617640,31,Get User Data,200,OK,Group 1 1-45,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,30,0,0
1747819617715,11,Get Channels,200,OK,Group 1 1-19,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,11,0,0
1747819617754,18,Get User Data,200,OK,Group 1 1-46,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,18,0,0
1747819610493,7325,Login,200,OK,Group 1 1-69,text,true,,1468,519,100,100,http://52.159.140.65:8065/api/v4/users/login,7325,0,3
1747819617814,7,Get Channels,200,OK,Group 1 1-20,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,7,0,0
1747819617865,12,Get User Data,200,OK,Group 1 1-47,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,12,0,0
1747819610510,7392,Login,200,OK,Group 1 1-70,text,true,,1476,521,100,100,http://52.159.140.65:8065/api/v4/users/login,7392,0,4
1747819617917,9,Get Channels,200,OK,Group 1 1-21,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,9,0,0
1747819610525,7489,Login,200,OK,Group 1 1-71,text,true,,1465,516,100,100,http://52.159.140.65:8065/api/v4/users/login,7489,0,6
1747819618037,8,Get Channels,200,OK,Group 1 1-22,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,8,0,0
1747819618099,13,Get User Data,200,OK,Group 1 1-48,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,13,0,0
1747819610542,7597,Login,200,OK,Group 1 1-72,text,true,,1467,518,100,100,http://52.159.140.65:8065/api/v4/users/login,7597,0,4
1747819618133,10,Get Channels,200,OK,Group 1 1-23,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,10,0,0
1747819618173,15,Get User Data,200,OK,Group 1 1-49,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,15,0,0
1747819610558,7691,Login,200,OK,Group 1 1-73,text,true,,1464,515,100,100,http://52.159.140.65:8065/api/v4/users/login,7691,0,3
1747819618249,3,Get Channels,200,OK,Group 1 1-24,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,3,0,0
1747819618291,14,Get User Data,200,OK,Group 1 1-50,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,13,0,0
1747819610576,7778,Login,200,OK,Group 1 1-74,text,true,,1470,519,100,100,http://52.159.140.65:8065/api/v4/users/login,7778,0,4
1747819618393,11,Get User Data,200,OK,Group 1 1-51,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,11,0,0
1747819618422,8,Get Channels,200,OK,Group 1 1-25,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,8,0,0
1747819610591,7881,Login,200,OK,Group 1 1-75,text,true,,1467,518,100,100,http://52.159.140.65:8065/api/v4/users/login,7881,0,4
1747819618525,13,Get User Data,200,OK,Group 1 1-52,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,13,0,0
1747819618561,8,Get Channels,200,OK,Group 1 1-26,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,8,0,0
1747819610609,7985,Login,200,OK,Group 1 1-76,text,true,,1473,522,100,100,http://52.159.140.65:8065/api/v4/users/login,7985,0,4
1747819618652,14,Get User Data,200,OK,Group 1 1-53,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,14,0,0
1747819618675,5,Get Channels,200,OK,Group 1 1-27,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,5,0,0
1747819610628,8080,Login,200,OK,Group 1 1-77,text,true,,1468,519,100,100,http://52.159.140.65:8065/api/v4/users/login,8080,0,4
1747819618788,13,Get Channels,200,OK,Group 1 1-28,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,13,0,0
1747819618792,14,Get User Data,200,OK,Group 1 1-54,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,14,0,0
1747819610646,8182,Login,200,OK,Group 1 1-78,text,true,,1474,519,100,100,http://52.159.140.65:8065/api/v4/users/login,8182,0,5
1747819618883,11,Get Channels,200,OK,Group 1 1-29,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,11,0,0
1747819610663,8263,Login,200,OK,Group 1 1-79,text,true,,1479,524,100,100,http://52.159.140.65:8065/api/v4/users/login,8263,0,5
1747819618940,10,Get User Data,200,OK,Group 1 1-55,text,true,,3733,513,100,100,http://52.159.140.65:8065/api/v4/users,10,0,0
1747819618995,5,Get Channels,200,OK,Group 1 1-30,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,5,0,0
1747819610677,8362,Login,200,OK,Group 1 1-80,text,true,,1467,515,100,100,http://52.159.140.65:8065/api/v4/users/login,8362,0,4
1747819619091,14,Get User Data,200,OK,Group 1 1-56,text,true,,3731,513,100,100,http://52.159.140.65:8065/api/v4/users,14,0,0
1747819619109,9,Get Channels,200,OK,Group 1 1-31,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,9,0,0
1747819610694,8480,Login,200,OK,Group 1 1-81,text,true,,1468,519,100,100,http://52.159.140.65:8065/api/v4/users/login,8480,0,6
1747819619214,8,Get Channels,200,OK,Group 1 1-32,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,7,0,0
1747819619275,18,Get User Data,200,OK,Group 1 1-57,text,true,,3731,513,100,100,http://52.159.140.65:8065/api/v4/users,18,0,0
1747819610713,8584,Login,200,OK,Group 1 1-82,text,true,,1473,518,100,100,http://52.159.140.65:8065/api/v4/users/login,8584,0,4
1747819619321,11,Get Channels,200,OK,Group 1 1-33,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,11,0,0
1747819610725,8684,Login,200,OK,Group 1 1-83,text,true,,1471,520,100,100,http://52.159.140.65:8065/api/v4/users/login,8684,0,6
1747819619409,11,Get User Data,200,OK,Group 1 1-59,text,true,,3731,513,100,100,http://52.159.140.65:8065/api/v4/users,11,0,0
1747819619438,7,Get Channels,200,OK,Group 1 1-34,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,7,0,0
1747819610742,8778,Login,200,OK,Group 1 1-84,text,true,,1469,520,100,100,http://52.159.140.65:8065/api/v4/users/login,8778,0,6
1747819619553,9,Get Channels,200,OK,Group 1 1-35,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,9,0,0
1747819619576,17,Get User Data,200,OK,Group 1 1-58,text,true,,3732,513,100,100,http://52.159.140.65:8065/api/v4/users,17,0,0
1747819610756,8887,Login,200,OK,Group 1 1-85,text,true,,1468,516,100,100,http://52.159.140.65:8065/api/v4/users/login,8887,0,4
1747819619660,9,Get Channels,200,OK,Group 1 1-36,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,9,0,0
1747819619668,12,Get User Data,200,OK,Group 1 1-60,text,true,,3732,513,100,100,http://52.159.140.65:8065/api/v4/users,12,0,0
1747819619751,9,Get Channels,200,OK,Group 1 1-37,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,9,0,0
1747819610773,8993,Login,200,OK,Group 1 1-86,text,true,,1469,520,100,100,http://52.159.140.65:8065/api/v4/users/login,8993,0,4
1747819619771,15,Get User Data,200,OK,Group 1 1-61,text,true,,3729,513,100,100,http://52.159.140.65:8065/api/v4/users,14,0,0
1747819619857,10,Get Channels,200,OK,Group 1 1-38,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,9,0,0
1747819610788,9102,Login,200,OK,Group 1 1-87,text,true,,1472,523,100,100,http://52.159.140.65:8065/api/v4/users/login,9102,0,3
1747819619895,13,Get User Data,200,OK,Group 1 1-62,text,true,,3729,513,100,100,http://52.159.140.65:8065/api/v4/users,13,0,0
1747819619957,9,Get Channels,200,OK,Group 1 1-39,text,true,,825,549,100,100,http://52.159.140.65:8065/api/v4/teams/agcjsx5uj7difpi63u4ucm58br/channels,9,0,0
1747819619998,17,Get User Data,200,OK,Group 1 1-63,text,true,,3729,513,100,100,http://52.159.140.65:8065/api/v4/users,17,0,0
